Date,Open,High,Low,Close,Volume,Award Amount,Company Name,Delta % Close - Open,Delta % High - Low
2024-04-11,22.65,22.91,22.25,22.84,26399380.0,0,PALANTIR TECHNOLOGIES INC.,0.8388520971302484,2.9662921348314613
2024-04-10,22.22,22.71,22.01,22.42,28642932.0,0,PALANTIR TECHNOLOGIES INC.,0.900090009000913,3.1803725579282114
2024-04-09,23.01,23.0868,22.46,22.81,27516696.0,0,PALANTIR TECHNOLOGIES INC.,-0.8691873098652882,2.7907390917186077
2024-04-08,23.08,23.2,22.67,23.0,24915269.0,0,PALANTIR TECHNOLOGIES INC.,-0.3466204506065784,2.337891486546085
2024-04-05,22.42,23.32,22.3065,22.96,38349177.0,0,PALANTIR TECHNOLOGIES INC.,2.408563782337195,4.543518705310114
2024-04-04,23.82,24.1,22.4,22.48,64307993.0,0,PALANTIR TECHNOLOGIES INC.,-5.625524769101594,7.589285714285728
2024-04-03,22.44,23.01,22.38,22.7,30063825.0,0,PALANTIR TECHNOLOGIES INC.,1.158645276292326,2.815013404825749
2024-04-02,22.0,22.79,21.72,22.72,39518421.0,0,PALANTIR TECHNOLOGIES INC.,3.2727272727272676,4.926335174953961
2024-04-01,22.98,23.21,22.4,22.86,40788839.0,0,PALANTIR TECHNOLOGIES INC.,-0.522193211488255,3.6160714285714386
2024-03-28,24.17,24.28,22.94,23.01,70008165.0,0,PALANTIR TECHNOLOGIES INC.,-4.799338022341746,5.841325196163904
2024-03-27,25.0,25.48,24.26,24.51,38600086.0,0,PALANTIR TECHNOLOGIES INC.,-1.9599999999999937,5.0288540807914215
2024-03-26,24.76,25.47,24.4702,24.89,43610464.0,0,PALANTIR TECHNOLOGIES INC.,0.5250403877221285,4.085785976412128
2024-03-25,24.12,24.62,24.05,24.51,29255903.0,0,PALANTIR TECHNOLOGIES INC.,1.6169154228855744,2.3700623700623713
2024-03-22,24.2,24.475,24.02,24.18,25453029.0,0,PALANTIR TECHNOLOGIES INC.,-0.0826446280991718,1.8942547876769436
2024-03-21,25.3,25.33,24.44,24.49,37099608.0,0,PALANTIR TECHNOLOGIES INC.,-3.201581027667993,3.6415711947626717
2024-03-20,23.77,24.65,23.67,24.57,40273774.0,0,PALANTIR TECHNOLOGIES INC.,3.365586874211193,4.140261934938728
2024-03-19,23.5,23.83,22.92,23.8,43247249.0,0,PALANTIR TECHNOLOGIES INC.,1.276595744680854,3.97033158813262
2024-03-18,23.77,24.18,23.32,24.0,44083043.0,0,PALANTIR TECHNOLOGIES INC.,0.9676062263357191,3.6878216123499117
2024-03-15,23.85,24.1,23.42,23.49,61420999.0,0,PALANTIR TECHNOLOGIES INC.,-1.5094339622641635,2.903501280956446
2024-03-14,24.83,24.97,24.14,24.43,47185998.0,0,PALANTIR TECHNOLOGIES INC.,-1.6109544905356366,3.438276719138352
2024-03-13,24.7,25.44,24.6,25.0,58961688.0,0,PALANTIR TECHNOLOGIES INC.,1.2145748987854281,3.414634146341463
2024-03-12,25.57,25.64,24.35,24.7,74434316.0,0,PALANTIR TECHNOLOGIES INC.,-3.402424716464611,5.297741273100613
2024-03-11,25.89,26.83,25.29,25.35,60202646.0,0,PALANTIR TECHNOLOGIES INC.,-2.0857473928157555,6.089363384737047
2024-03-08,27.19,27.28,25.81,26.04,84256124.0,0,PALANTIR TECHNOLOGIES INC.,-4.229496138286142,5.69546687330493
2024-03-07,27.01,27.5,26.38,26.46,117519319.0,0,PALANTIR TECHNOLOGIES INC.,-2.0362828582006687,4.245640636846099
2024-03-06,25.75,26.75,24.53,26.16,207386942.0,0,PALANTIR TECHNOLOGIES INC.,1.5922330097087385,9.050142682429673
2024-03-05,23.96,24.4092,23.43,23.81,49542272.0,0,PALANTIR TECHNOLOGIES INC.,-0.6260434056761357,4.179257362355949
2024-03-04,24.4,24.58,23.53,24.04,64320031.0,0,PALANTIR TECHNOLOGIES INC.,-1.4754098360655716,4.462388440288981
2024-03-01,25.3,25.69,24.535,24.93,64794407.0,0,PALANTIR TECHNOLOGIES INC.,-1.4624505928853793,4.707560627674755
2024-02-29,24.81,25.2928,24.36,25.08,62753300.0,0,PALANTIR TECHNOLOGIES INC.,1.0882708585247867,3.829228243021348
2024-02-28,24.52,24.84,24.245,24.42,47313982.0,0,PALANTIR TECHNOLOGIES INC.,-0.4078303425774791,2.4541142503608944
2024-02-27,23.76,24.62,23.72,24.53,64967421.0,0,PALANTIR TECHNOLOGIES INC.,3.2407407407407387,3.794266441821257
2024-02-26,23.03,23.88,22.94,23.56,46499481.0,0,PALANTIR TECHNOLOGIES INC.,2.3013460703430204,4.097646033129894
2024-02-23,23.53,24.07,22.82,22.97,48840765.0,0,PALANTIR TECHNOLOGIES INC.,-2.3799405014874724,5.4776511831726555
2024-02-22,23.77,23.95,23.05,23.59,64458247.0,0,PALANTIR TECHNOLOGIES INC.,-0.7572570466975167,3.9045553145336163
2024-02-21,22.3,22.9299,22.29,22.74,60411461.0,0,PALANTIR TECHNOLOGIES INC.,1.9730941704035772,2.8707940780619152
2024-02-20,23.84,24.0,22.715,23.4,93374349.0,0,PALANTIR TECHNOLOGIES INC.,-1.8456375838926227,5.6570548095971835
2024-02-16,24.96,25.495,24.39,24.44,65498227.0,0,PALANTIR TECHNOLOGIES INC.,-2.0833333333333313,4.530545305453057
2024-02-15,25.04,25.46,24.71,25.41,70544321.0,0,PALANTIR TECHNOLOGIES INC.,1.4776357827476079,3.0352084176446783
2024-02-14,24.15,25.5,23.755,25.19,97227926.0,0,PALANTIR TECHNOLOGIES INC.,4.306418219461709,7.3458219322247995
2024-02-13,23.53,24.66,23.31,24.01,102293322.0,0,PALANTIR TECHNOLOGIES INC.,2.03994900127497,5.791505791505798
2024-02-12,23.91,25.525,23.82,25.05,108173046.0,0,PALANTIR TECHNOLOGIES INC.,4.7678795483061505,7.1578505457598585
2024-02-09,25.04,25.11,23.57,24.38,149061975.0,0,PALANTIR TECHNOLOGIES INC.,-2.6357827476038342,6.533729316928295
2024-02-08,23.96,25.06,23.32,24.51,212671149.0,0,PALANTIR TECHNOLOGIES INC.,2.2954924874791347,7.461406518010285
2024-02-07,21.6,23.87,21.38,23.6,254911069.0,0,PALANTIR TECHNOLOGIES INC.,9.25925925925926,11.646398503274098
2024-02-06,20.3,22.18,19.76,21.87,421271485.0,0,PALANTIR TECHNOLOGIES INC.,7.733990147783253,12.246963562753026
2024-02-05,17.56,17.87,16.48,16.72,167698349.0,0,PALANTIR TECHNOLOGIES INC.,-4.783599088838268,8.43446601941748
2024-02-02,16.34,17.02,16.145,17.02,57672675.0,0,PALANTIR TECHNOLOGIES INC.,4.1615667074663385,5.419634561783834
2024-02-01,16.21,16.4868,16.03,16.33,40454381.0,0,PALANTIR TECHNOLOGIES INC.,0.740283775447239,2.849656893325001
2024-01-31,16.41,16.76,16.07,16.09,43582546.0,0,PALANTIR TECHNOLOGIES INC.,-1.9500304692260835,4.29371499688862
2024-01-30,17.04,17.24,16.66,16.74,36388182.0,0,PALANTIR TECHNOLOGIES INC.,-1.7605633802816945,3.4813925570227986
2024-01-29,16.45,17.11,16.43,17.09,35987779.0,0,PALANTIR TECHNOLOGIES INC.,3.890577507598788,4.1387705416920255
2024-01-26,16.4,16.75,16.34,16.35,28612154.0,0,PALANTIR TECHNOLOGIES INC.,-0.30487804878047053,2.5091799265605883
2024-01-25,16.92,17.0,16.31,16.46,44589040.0,0,PALANTIR TECHNOLOGIES INC.,-2.7186761229314467,4.230533415082779
2024-01-24,17.51,17.65,16.735,16.75,42035737.0,0,PALANTIR TECHNOLOGIES INC.,-4.340376927470026,5.467582910068714
2024-01-23,17.64,17.73,17.2,17.33,37794300.0,0,PALANTIR TECHNOLOGIES INC.,-1.7573696145124846,3.081395348837216
2024-01-22,17.46,18.3503,17.43,17.6,85573913.0,0,PALANTIR TECHNOLOGIES INC.,0.8018327605956505,5.279977051061394
2024-01-19,16.57,16.78,16.15,16.78,40690625.0,0,PALANTIR TECHNOLOGIES INC.,1.267350633675322,3.900928792569676
